external_cause_category,Deaths,Percentage of external causes,Percentage of all teacher deaths
Transport accidents,4268,34.056814554739866,2.183377072494462
Falls,1925,15.36067666773061,0.984770586820956
Suicide,1708,13.629109479731886,0.8737600843065936
Homicide,1570,12.527928503032237,0.8031635435370913
Other external causes,1565,12.488030641557613,0.8006056978570368
Undetermined intent,1157,9.232365145228215,0.5918854903645954
Drowning,265,2.114586658155123,0.13556582104288484
Accidental poisoning,74,0.5904883498244494,0.03785611606480558
