icd10_3,Deaths,Percentage,cause_description
M32,355,0.1816070432838646,Lúpus eritematoso disseminado [sistêmico]
K81,350,0.17904919760381016,Colecistite
V29,347,0.1775144901957775,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
J43,346,0.17700292105976662,Enfisema
V43,341,0.17444507537971218,"Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
B18,335,0.17137566056364686,Hepatite viral crônica
K72,327,0.16728310747555977,Insuficiência hepática não classificada em outra parte
K80,325,0.166259969203538,Colelitíase
G93,323,0.16523683093151623,Outros transtornos do encéfalo
V44,320,0.1637021235234836,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus
L08,319,0.1631905543874727,Outras infecções localizadas da pele e do tecido subcutâneo
Y83,307,0.15705172475534207,"Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção"
I05,306,0.15654015561933118,Doenças reumáticas da valva mitral
I34,297,0.1519360333952332,Transtornos não-reumáticos da valva mitral
E78,285,0.14579720376310257,Distúrbios do metabolismo de lipoproteínas e outras lipidemias
W01,281,0.14375092721905902,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
C23,276,0.1411930815390046,Neoplasia maligna da vesícula biliar
V23,276,0.1411930815390046,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
A46,273,0.13965837413097193,Erisipela
C72,270,0.13812366672293927,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C95,269,0.13761209758692838,Leucemia de tipo celular não especificado
C41,267,0.1365889593149066,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
D46,264,0.13505425190687395,Síndromes mielodisplásicas
I13,264,0.13505425190687395,Doença cardíaca e renal hipertensiva
C17,263,0.13454268277086306,Neoplasia maligna do intestino delgado
E87,259,0.13249640622681952,Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
J81,258,0.13198483709080863,"Edema pulmonar, não especificado de outra forma"
B57,255,0.13045012968277597,Doença de Chagas
C44,255,0.13045012968277597,Outras neoplasias malignas da pele
W84,251,0.12840385313873243,Riscos não especificados à respiração
B24,250,0.12789228400272154,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
I33,249,0.12738071486671065,Endocardite aguda e subaguda
N19,248,0.12686914573069977,Insuficiência renal não especificada
I27,244,0.12482286918665624,Outras formas de doença cardíaca pulmonar
I73,243,0.12431130005064535,Outras doenças vasculares periféricas
C83,241,0.12328816177862358,Linfoma não-Hodgkin difuso
K83,240,0.12277659264261269,Outras doenças das vias biliares
N03,237,0.12124188523458003,Síndrome nefrítica crônica
G40,236,0.12073031609856914,Epilepsia
I46,235,0.12021874696255826,Parada cardíaca
E46,231,0.11817247041851471,Desnutrição protéico-calórica não especificada
K63,231,0.11817247041851471,Outras doenças do intestino
I62,230,0.11766090128250382,Outras hemorragias intracranianas não-traumáticas
V09,227,0.11612619387447116,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
C32,225,0.11510305560244939,Neoplasia maligna da laringe
W78,224,0.1145914864664385,Inalação do conteúdo gástrico
K25,221,0.11305677905840585,Úlcera gástrica
N12,217,0.1110105025143623,Nefrite túbulo-intersticial não especificada se aguda ou crônica
L89,215,0.10998736424234053,Úlcera de decúbito
I74,213,0.10896422597031875,Embolia e trombose arteriais
C73,208,0.10640638029026432,Neoplasia maligna da glândula tireóide
V48,201,0.10282539633818813,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão
X59,200,0.10231382720217724,Exposição a fatores não especificados
M06,197,0.10077911979414458,Outras artrites reumatóides
A16,194,0.09924441238611192,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
I38,186,0.09515185929802483,Endocardite de valva não especificada
R57,185,0.09464029016201395,Choque não classificado em outra parte
B22,181,0.0925940136179704,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
A90,173,0.08850146052988331,Dengue [dengue clássico]
V24,173,0.08850146052988331,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
X80,170,0.08696675312185065,Lesão autoprovocada intencionalmente por precipitação de um lugar elevado
F10,160,0.0818510617617418,Transtornos mentais e comportamentais devidos ao uso de álcool
L03,160,0.0818510617617418,Celulite (Flegmão)
D61,159,0.08133949262573091,Outras anemias aplásticas
C21,158,0.08082792348972002,Neoplasia maligna do ânus e do canal anal
M62,157,0.08031635435370914,Outros transtornos musculares
C81,156,0.07980478521769825,Doença de Hodgkin
D64,155,0.07929321608168736,Outras anemias
E03,155,0.07929321608168736,Outros hipotireoidismos
J90,155,0.07929321608168736,Derrame pleural não classificado em outra parte
R68,155,0.07929321608168736,Outros sintomas e sinais gerais
K75,151,0.07724693953764382,Outras doenças inflamatórias do fígado
W69,150,0.07673537040163293,Afogamento e submersão em águas naturais
C38,147,0.07520066299360027,"Neoplasia maligna do coração, mediastino e pleura"
K26,146,0.07468909385758939,Úlcera duodenal
C02,145,0.0741775247215785,Neoplasia maligna de outras partes e de partes não especificadas da língua
F17,145,0.0741775247215785,Transtornos mentais e comportamentais devidos ao uso de fumo
Y29,142,0.07264281731354584,"Contato com objeto contundente, intenção não determinada"
V28,141,0.07213124817753495,Motociclista traumatizado em um acidente de transporte sem colisão
N20,138,0.0705965407695023,Calculose do rim e do ureter
K46,136,0.06957340249748052,Hérnia abdominal não especificada
V03,136,0.06957340249748052,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
J12,135,0.06906183336146964,Pneumonia viral não classificada em outra parte
A04,129,0.06599241854540432,Outras infecções intestinais bacterianas
A48,129,0.06599241854540432,Outras doenças bacterianas não classificadas em outra parte
D68,129,0.06599241854540432,Outros defeitos da coagulação
V47,127,0.06496928027338254,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado
I70,124,0.06343457286534988,Aterosclerose
C10,123,0.062923003729339,Neoplasia maligna da orofaringe
I44,123,0.062923003729339,Bloqueio atrioventricular e do ramo esquerdo
M86,123,0.062923003729339,Osteomielite
C51,120,0.061388296321306345,Neoplasia maligna da vulva
J47,120,0.061388296321306345,Bronquectasia
Y00,120,0.061388296321306345,Agressão por meio de um objeto contundente
K35,118,0.06036515804928457,Apendicite aguda
I08,113,0.05780731236923014,Doenças de múltiplas valvas
C06,112,0.05729574323321925,Neoplasia maligna de outras partes e de partes não especificadas da boca
I31,112,0.05729574323321925,Outras doenças do pericárdio
F32,111,0.056784174097208366,Episódios depressivos
G35,111,0.056784174097208366,Esclerose múltipla
E43,110,0.05627260496119748,Desnutrição protéico-calórica grave não especificada
B94,109,0.05576103582518659,Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
D69,107,0.05473789755316482,Púrpura e outras afecções hemorrágicas
E86,107,0.05473789755316482,Depleção de volume
I77,107,0.05473789755316482,Outras afecções das artérias e arteríolas
X91,107,0.05473789755316482,"Agressão por meio de enforcamento, estrangulamento e sufocação"
G00,105,0.05371475928114305,Meningite bacteriana não classificada em outra parte
W79,104,0.05320319014513216,Inalação e ingestão de alimentos causando obstrução do trato respiratório
D47,102,0.052180051873110395,"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
G04,102,0.052180051873110395,"Encefalite, mielite e encefalomielite"
V99,101,0.05166848273709951,Acidente de transporte não especificado
F01,100,0.05115691360108862,Demência vascular
I72,100,0.05115691360108862,Outros aneurismas
O99,100,0.05115691360108862,"Outras doenças da mãe, classificadas em outra parte, mas que complicam a gravidez o parto e o puerpério"
D32,97,0.04962220619305596,Neoplasia benigna das meninges
G91,97,0.04962220619305596,Hidrocefalia
K27,97,0.04962220619305596,Úlcera péptica de localização não especificada
J22,96,0.049110637057045076,Infecções agudas não especificada das vias aéreas inferiores
A91,95,0.04859906792103419,Febre hemorrágica devida ao vírus do dengue
J11,93,0.047575929649012416,Influenza [gripe] devida a vírus não identificado
N28,92,0.04706436051300153,Outros transtornos do rim e do ureter não classificado em outra parte
B21,88,0.045018083968957984,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas"
V87,87,0.0445065148329471,"Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
X93,86,0.04399494569693621,Agressão por meio de disparo de arma de fogo de mão
W74,85,0.043483376560925324,Afogamento e submersão não especificados
C75,84,0.04297180742491444,Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
D48,83,0.04246023828890355,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
Y20,83,0.04246023828890355,"Enforcamento, estrangulamento e sufocação, intenção não determinada"
F20,82,0.041948669152892665,Esquizofrenia
M34,82,0.041948669152892665,Esclerose sistêmica
C84,81,0.04143710001688178,Linfomas de células T cutâneas e periféricas
V02,81,0.04143710001688178,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
V22,81,0.04143710001688178,Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas
X64,81,0.04143710001688178,"Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas"
I20,80,0.0409255308808709,Angina pectoris
V27,80,0.0409255308808709,Motociclista traumatizado em colisão com um objeto fixo ou parado
D57,78,0.039902392608849126,Transtornos falciformes
I82,77,0.03939082347283824,Outra embolia e trombose venosas
N10,77,0.03939082347283824,Nefrite túbulo-intersticial aguda
K40,76,0.03887925433682735,Hérnia inguinal
L02,75,0.038367685200816466,"Abscesso cutâneo, furúnculo e antraz"
O98,75,0.038367685200816466,"Doenças infecciosas e parasitárias maternas classificáveis em outra parte mas que compliquem a gravidez, o parto e o puerpério"
W87,73,0.03734454692879469,Exposição a corrente elétrica não especificada
D43,72,0.03683297779278381,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
M31,72,0.03683297779278381,Outras vasculopatias necrotizantes
X61,71,0.03632140865677292,"Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte"
C57,70,0.035809839520762034,Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
C82,70,0.035809839520762034,"Linfoma não-Hodgkin, folicular (nodular)"
K31,68,0.03478670124874026,Outras doenças do estômago e do duodeno
E88,67,0.034275132112729374,Outros distúrbios metabólicos
I47,66,0.03376356297671849,Taquicardia paroxística
K22,66,0.03376356297671849,Outras doenças do esôfago
X74,66,0.03376356297671849,Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
X68,65,0.0332519938407076,"Auto-intoxicação por e exposição, intencional, a pesticidas"
E85,64,0.032740424704696715,Amiloidose
K52,64,0.032740424704696715,Outras gastroenterites e colites não-infecciosas
N30,64,0.032740424704696715,Cistite
C74,63,0.03222885556868583,Neoplasia maligna da glândula supra-renal [Glândula adrenal]
C11,62,0.03171728643267494,Neoplasia maligna da nasofaringe
J86,62,0.03171728643267494,Piotórax
K82,62,0.03171728643267494,Outras doenças da vesícula biliar
N11,62,0.03171728643267494,Nefrite túbulo-intersticial crônica
W10,62,0.03171728643267494,Queda em ou de escadas ou degraus
G71,61,0.03120571729666406,Transtornos primários dos músculos
J10,61,0.03120571729666406,Influenza devida a outro vírus da influenza [gripe] identificado
R10,61,0.03120571729666406,Dor abdominal e pélvica
V04,61,0.03120571729666406,Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
J09,60,0.030694148160653172,Influenza [gripe] devida a vírus identificado da gripe aviária
K44,60,0.030694148160653172,Hérnia diafragmática
I85,59,0.030182579024642286,Varizes esofagianas
K29,58,0.0296710098886314,Gastrite e duodenite
G70,57,0.029159440752620513,Miastenia gravis e outros transtornos neuromusculares
J80,57,0.029159440752620513,Síndrome do desconforto respiratório do adulto
C07,55,0.02813630248059874,Neoplasia maligna da glândula parótida
K51,55,0.02813630248059874,Colite ulcerativa
